participant_nr,group,stroop_type,trial_nr,word,color,condition,correct_key,pressed_key,rt,correct
102,dyslexic,reverse,1,yellow,yellow,congruent,K,k,0.5566635839932133,correct
102,dyslexic,reverse,2,red,blue,incongruent,D,d,1.5525580829998944,correct
102,dyslexic,reverse,3,red,blue,incongruent,D,d,0.46181429200805724,correct
102,dyslexic,reverse,4,red,blue,incongruent,D,d,0.34530220899614505,correct
102,dyslexic,reverse,5,red,blue,incongruent,D,d,0.4564389170118375,correct
102,dyslexic,reverse,6,red,blue,incongruent,D,d,0.40110050099610817,correct
102,dyslexic,reverse,7,yellow,yellow,congruent,K,k,1.3116675420023967,correct
102,dyslexic,reverse,8,red,blue,incongruent,D,d,1.0041289590008091,correct
102,dyslexic,reverse,9,yellow,yellow,congruent,K,j,0.34325408400036395,incorrect
102,dyslexic,reverse,10,yellow,yellow,congruent,K,f,0.8271027919981861,incorrect
102,dyslexic,stroop,11,yellow,yellow,congruent,K,k,0.610788166988641,correct
102,dyslexic,stroop,12,red,blue,incongruent,F,d,0.3142677919968264,incorrect
102,dyslexic,stroop,13,red,blue,incongruent,F,f,0.3397953759995289,correct
102,dyslexic,stroop,14,yellow,yellow,congruent,K,j,0.28836570800922345,incorrect
102,dyslexic,stroop,15,red,blue,incongruent,F,k,0.33373616699827835,incorrect
102,dyslexic,stroop,16,red,blue,incongruent,F,d,0.2793050840118667,incorrect
102,dyslexic,stroop,17,red,blue,incongruent,F,f,0.27327804200467654,correct
102,dyslexic,stroop,18,yellow,yellow,congruent,K,j,0.33618125099746976,incorrect
102,dyslexic,stroop,19,red,blue,incongruent,F,j,0.305622208994464,incorrect
102,dyslexic,stroop,20,yellow,yellow,congruent,K,k,0.6017361249978421,correct
