word,color,condition,correct_key,block
yellow,yellow,congruent,K,reverse_stroop
yellow,yellow,congruent,K,reverse_stroop
yellow,yellow,congruent,K,reverse_stroop
yellow,yellow,congruent,K,reverse_stroop
red,blue,incongruent,D,reverse_stroop
red,blue,incongruent,D,reverse_stroop
red,blue,incongruent,D,reverse_stroop
red,blue,incongruent,D,reverse_stroop
red,blue,incongruent,D,reverse_stroop
red,blue,incongruent,D,reverse_stroop
